CV File,Category,Education,Top Skills
./data\AUTOMOBILE\11152490.pdf,AUTOMOBILE,"[{'Degree': 'master', 'Major': 'certficate in six sigma\n \n \n \nleadership\n \n2008\n \nvillanova university\n \n  \ncity\n \n  \nstate\n \n  \nusa\ncertificate of achievement in lean six sigma black belt\n \n \n \nleadership\n \n2008\n \nvillanova university\n \n  \ncity\n \n  \nstate\n \n  \nusa\ncertification of achievement in lean six sigma\n \n \n \nleadership\n \n2007\n \nvillanova\n \n  \ncity\n \n  \nstate\n \n  \nusa\nmaster of arts\n \n \n \norganizational management\n \n2003\n \nuniversity of phoenix\n \n  \ncity\n \n  \nstate\n \n  \nusa\nteacher certification\n \n \n \neducation\n \n2002\n \nsouthwest texas state university\n \n  \ncity\n \n  \nstate\n \n  \nusa\nbachelor of science\n \n \n \nhealth care   business administration\n \n2001\n \nwayland baptist university\n \n  \ncity\n \n  \nstate\n \n  \nusa\ncomputer skills\ndreamweaver  illustrator  photoshop  acrobat pro  photoshop elements  final cut pro  ms office  mac osx  mac io', 'University': 's'}]","city state usa, university city state, career technical education, city state human, city state web, maintained human resource, city state fraud, state university city, human resource staff, state human resource"
./data\AUTOMOBILE\11257723.pdf,AUTOMOBILE,[],"liability claim representative, claims representative company, general liability claim, city state determine, city state recognized, claims determine liability, city state journalism, auto claims representatives, city state monitor, city state directly"
./data\AUTOMOBILE\11797122.pdf,AUTOMOBILE,"[{'Degree': 'master', 'Major': 'truck driving \nschool\n \nï¼  \ncity\n \n  \nstate\n \n  \nunited states\n \ntruck driving\n \ngpa  \ngpa  3 7\nclass a cdl license\nroad master truck driving school\n \ncity\n \n  \nstate\n \nclass  a  commercial driver license  cdl \ncredentials\ntwic car', 'University': 'd'}]","city state driver, daily delivery schedules, state driver car, coordinated daily delivery, delivery schedules based, schedules peak delivery, customer schedules peak, peak delivery times, daily dot pre, conducted daily dot"
./data\AUTOMOBILE\11887930.pdf,AUTOMOBILE,"[{'Degree': 'bachelor', 'Major': 'of arts in criminal justice  emphasis in legal studies  cum laude  3 63 gpa\nmay 1999  member of the golden key national honor society\nassociates degree in liberal arts  4 0 gpa  member of phi theta kappa international honor society  member of the golden key\nnational honor society\n4 0 gpa  member of the phi theta kappa international honor society\nexperience\ncompany name\n \ndecember 2012\n \nto \ncurrent\n \nclinical and data operations support analyst\n \nhome based support the development and delivery of key performance indicators and metrics and the provision of them on a monthly\nbasis \ncreate dashboards using oracle business intelligence tools\ncreate reports using oracle answers to produce monthly metrics \nbuild eroom databases for tracking critical document package reviews  responsible for exporting databases and providing monthly\ndashboard analysis \nprovide support for reviews of financial and operational performance through the provision and analysis of data from icon s systems \nwork closely with the global director  study start up leads to support global consistency  focus and development across the ssu lead\nfunction \nmarch 2008\n \nto \nfebruary 2013\n \nexecutive management assistant\n \ndesign presentation tools using excel and powerpoint  modify tools based on sponsor needs  conduct training sessions globally on how to\nuse tools and present data  executive management assistant  03 08 to 02 13\ncreated multiple databases across many erooms for the purposes of tracking  analyzing and reporting quality issues  governance\ncompliance  sponsor feedback  audit findings and responses \nresponsible for pulling data from ctms and planview via business objects and omr  analyzing and presenting results to sr  mgmt \nassist with report generation and preparation for sponsor audits liaise with multiple departments such as accounts payable to resolve employee  team compliance issues \ntrained and assisted employees on various company applications  expense reports and all microsoft office applications \nworked with report developers to create ad hoc reporting to meet the needs of sr  mgmt\nprepared on a regular basis a suite of metrics via bar graphs and powerpoint presentations for sponsor quality management and joint\noperations committee meetings \ndeployed surveys and compile data in eroom database \nresponsible for tracking promotion eligibility of all us clinical operation employees  obtaining recommendations  notifying management of\nfinalized promotions and salary increases \ncompany name\n \nmay 2006\n \nto \nseptember 2007\n \nexecutive associate  general counsel  labor   employment\n \ncompany name\n \nseptember 2007\n \nto \nmarch 2008\n \nsr  administrative support associate  general counsel\n \ncity\n \n  \nstate\nmanaged a high volume workload within a deadline driven environment \nidentified process improvement opportunities and implemented changes to gain operational efficiencies within department \ndeveloped and maintained complex spreadsheets  maintained data sources for departmental records and management information\nreporting \nprovided information in support of complex requests for department projects  programs and events \nhandled all aspects in planning and carrying out regular training events for client education \nsupported development and modification of presentations \ncollected data and generated management information reports and graphics \nprovided comprehensive support services and routine analysis to unit \nassisted in various types of departmental project  including companywide initiatives  â   using microsoft sharepoint created department\nwebsite for posting secured self service resources for client use and to facilitate collaboration on documents and projects  â   responsible\nfor maintaining monitoring and updating site content and security groups \neducation\nthe university of texas at san antonio\n \n1999\n \nbachelor of arts\n \n  \ncriminal justice  legal studies\n \ncity\n \n  \nstate\n \n  \nus\n \nthe university of texas at san\nantonio  1996 1999 bachelor of arts in criminal justice  emphasis in legal studies  cum laude  3 63 gpa \nsouthwest texas junior college\n \n1996\n \nassociates\n \n  \nliberal arts\n \nsouthwest texas junior college  texas  1995 1996 associates degree in liberal\narts  4 0 gpa  member of phi theta kappa international honor society  member of the golden key national honor society \ncape fear community college\n \n1995\n \ncity\n \n  \nstate\n \n  \nus\n \ncape fear community college  wilmington  north carolina  1994 1995 4 0 gpa \nmember of the phi theta kappa international honor society \ncertifications\ncertified microsoft office specialist   microsoft office word 2003 certified microsoft office specialist   microsoft office powerpoint 2003\ncertified microsoft office specialist   microsoft office excel 2003 certified microsoft office specialist   microsoft office outlook 2003\naffiliations\nunited automobile services association  usaa \npresentations\nprepared on a regular basis a suite of metrics via bar graphs and powerpoint presentations for sponsor quality management and joint operations\ncommittee meetings\nskills\nbasis  databases  metrics  operations  training  accounts payable  audit  audits  database  excel  governance  microsoft office  ms office \nplanview  powerpoint  business intelligence  leads  oracle  associate  administrative support  data sources  microsoft sharepoint  posting \nprocess improvement  security  sharepoint  excel 2003  microsoft excel  outlook  outlook 2003  microsoft powerpoint  powerpoint 2003 \nword  word 200', 'University': '3'}]","microsoft office specialist, office specialist microsoft, specialist microsoft office, certified microsoft office, international honor society, kappa international honor, theta kappa international, national honor society, phi theta kappa, honor society member"
./data\AUTOMOBILE\14455622.pdf,AUTOMOBILE,"[{'Degree': 'bachelor', 'Major': 'of science\n \nlewis university \nairframe   powerplant license\naviation maintenance and management\nskills\naccount management  accounting  ad  automobiles  budget  contract management and administration  contracts  customer relations  customer\nsatisfaction  customer service  delivery  estimating  financial  forecasting  invoicing  lockheed martin  marketing  mechanical  office  negotiations \nnetwork  operations management  paint  personnel  pricing  profit  program management  proposals  proposal  purchasing  quality  repairs  sales \nsales manager  scheduling  scientific  sun  upgrade', 'University': 's'}]","city state perform, regional sales manager, aircraft heavy maintenance, regional aviation industries, city state manage, coordinated proposal efforts, industries prepared proposed, bombardier aircraft services, management customer service, aircraft maintenance management"
./data\AUTOMOBILE\14508237.pdf,AUTOMOBILE,[],"agency sales resources, mechanical machinist mechanical, customer services customer, services customer service, problem solving skills, country united states, united states branch, city state mechanical, service customer care, city state assist"
./data\AUTOMOBILE\15100547.pdf,AUTOMOBILE,"[{'Degree': 'master', 'Major': 'ed basic claims handling in a high demand atmosphere \nproperty damage assessor  estimated vehicle damages  managed preferred repair shops  informed customers \nof the repair process  repair quality assurance casualty adjuster  completed detailed review of medical records  bills  negotiated\nsettlements with attorneys  monitored files for possible lawsuit potential education\nj d \n \n  \nlaw\n \n2016\n \nst  mary s university\n \nï¼  \ncity\n \n  \nstate\ncoursework in criminal justiceâ \nlegal license pending november 2016\nbachelor of arts\n \n  \nenglish literature\n \n2000\n \ntexas a m university   college\n \nï¼  \ncity\n \n  \nstate\n \n  \nusa\n \nenglish literature\ntraining\nrisk managementâ and insurance coursework\nextensive training in auto insurance terminology  processes  parts  repair and medical procedures \ntexas and other state s regulations\ncustomer service delivery\ncommercial specific issues\nskills\ninterpersonal and communication â \n customer service  file management  insurance  legal research   writing  litigation  mediation  medical\nrecord review  high level claim evaluation  commercial needs  â negotiation  processes  quality assurance  risk management  settlements \nstrateg', 'University': 'y'}]","attorney criminal defense, student attorney criminal, city state managed, city state coursework, customer service file, claims file management, city state offered, city state responsible, city state usa, service file management"
./data\AUTOMOBILE\15210069.pdf,AUTOMOBILE,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nbusiness administration\n \n  \n2015\n \nregis university\n \nï¼  \ncity\n \n  \nstate\n \n  \nusa\nbusiness administration\nskills\nadministrative  adp payroll  air force  balance  banking  basic  billing  excellent oral  hardware  cost reduction  client  customer services \ncustomer service  database management  equity  financial  information security  loss prevention  weapons  payroll  personnel  philosophy  camera \npolice  policies  processes  recruiting  safety  sales training  staffing  telephone  phone  web content development  written communication skill', 'University': 's'}]","city state developed, customer services customer, city state evaluated, city state handled, city state trained, city state supervised, services customer service, city state acquired, city state execute, city state usa"
./data\AUTOMOBILE\15484011.pdf,AUTOMOBILE,[],"retail customer service, city state customer, customer service ticket, state customer service, city state assisting, decision making skills, city state retail, coding city state, resolving customer complaints, service ticket agent"
./data\AUTOMOBILE\15790602.pdf,AUTOMOBILE,"[{'Degree': 'master', 'Major': 's degree in business administration \nprofessional experience\n02 1999\n \nto \ncurrent\ndirector\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\ncurrently lead key discounts initiatives involving technology  branding  marketing  strategy development and the evaluation of new member\nbenefit programs  collaborate with clubs to ensure consensus on partner marketing  branding  technology efforts  contract negotiations and\npartner acquisition actively lead club work teams including the discounts task force  the member data capture team  the member offer\ndatabase group and the discounts and rewards re branding team \ndevelop and present topics to the discounts sub committee led club discussions that resulted in an unprecedented association wide\npromotional commitment for discount partners led staff efforts for the timely and successful evaluation and selection of vendors for the\ndiscounts technology solution oversee the development of multi channel program marketing materials for club use  including social media\nand other digital programs provided thought leadership for the creation of a new system that provides analytics and insights on partner\nperformance and marketing exposure led sales acquisition efforts that resulted in the addition of numerous key brands to the show your\ncard   save program  including new york   company  target com  directv  dell  circuit city and best buy successfully negotiated\nnew partner contracts and launched new programs including aaa prescription savings  target com  shell gasoline program  payless  ups\nand travel money programs \n09 1997\n \nto \n02 1999\ninternet development project manager\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\npromoted to position \nmanaged overall internet project and technical development of aaa com functionality for online travel bookings  routings  travel material\nrequests and tourbook look up \nmanaged staff of four developers and directed the work of internet designers  content editors and technical writers in other departments \ndelivered enhanced national web site application on time for testing conducted focus groups to determine site usability and design\neffectiveness oversaw rfp process for selection of national internet service provider evaluated internet costs and developed\nrecommendations for club pricing collaborated with business lines to develop specific approaches for integrating and deploying the internet\nas a service delivery channel \n04 1996\n \nto \n09 1997\nelectronic publishing manager\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nresponsible for all aspects of america online  aol  project and interim internet project  aaa com  \nmajor accomplishments included  managed the accelerated creative and technical development of aaa com  using all in house technical\nand publishing resources built strong working relationships with internet development committee members managed development of\ntourbook  zip code  aaa offices and dues  and approved auto repair database search functionality created content and promotional\nprograms for both online sites including two successful online contests which doubled site visits during promotional period initiated\ndevelopment of a secure web site allowing credit card transactions and a more streamlined method of receiving online membership\napplications \n07 1991\n \nto \n03 1996\nmarketing   product development manager\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nperformed various marketing and project management functions within publishing area \nprovided financial market feasibility analysis for potential business opportunities including an electronic travel kiosk and a multi media\nventure \nbecame marketing manager for the publishing division in january 1993 \ndeveloped club travel store program  a direct to member publications sales test  club marketing programs for retail publications \nserved 18 months as program manager for aaa s world cup soccer national sponsorship \noversaw club promotions  aaa product development  retail distribution and premium product sales development to sponsors \n07 1990\n \nto \n06 1991\nvice president branch administrator\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nmanaged operations for seven branches with 45 employees and  184 million in deposits \ndeveloped and managed a successful plan to maintain existing customer base during period of government intervention \n10 1986\n \nto \n06 1990\nvicepresident\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\ngiven statewide marketing responsibility in january 1990 \nfor 36 branch institution \npreviously directed these functions for the bank s 20 office daytona region \nmanaged a  750 000 marketing budget with a staff of six developed and implemented innovative and cost efficient marketing plans to promote bank products and services \ndirected several successful multimedia campaigns including one which attracted  20 million in deposits in 90 days \nlaunched business development program that generated  14 million in sales in three months \nprogram focused on prospect development  formalized sales reporting  sales tracking  follow up  incentives and recognition \nestablished and managed an eight person outbound telemarketing department that generated  2 million deposits during the first four months \n01 1984\n \nto \n09 1986\nbusiness development representative\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\ncreated newcomer program and designed to attract business from people moving to the area \nmanaged all sales efforts  which generated  20 million in deposits in the first five years \npromoted to vice president  regional marketing manager as a result \n01 1981\n \nto \n01 1984\nnewspaper reporter\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\ncovered city government  general news and feature stories \npromoted to business writer and reported on financial topics while studying for mba \neducation\n1984\nmaster s degree\n \n  \nbusiness administration\n \nstetson university\n \nï¼  \ncity\n \n  \nstate\n \nbusiness administration\n1981\nbachelor of science degree\n \n  \njournalism and business\n \nflorida southern college\n \nï¼  \ncity\n \n  \nstate\n \njournalism and business\nskills\namerica online  aol  auto repair  branding  budget  business development  com  content  contract negotiations  contracts  credit  database \ndelivery  dell  financial  focus  government  internet development  internet service provider  leadership  marketing plans  marketing  market \nmarketing manager  marketing materials  mba  money  office  multimedia  multi media  pricing  product development  project management \npublications  receiving  retail  rfp  sales  sales development  sales reporting  shell  stories  strategy development  telemarketing  web site  writer \nzi', 'University': 'p'}]","development manager company, city state business, city state managed, development project manager, internet development project, internet service provider, internet development internet, project manager company, business development program, city state promoted"
./data\AUTOMOBILE\16332293.pdf,AUTOMOBILE,"[{'Degree': 'bachelor', 'Major': 's degree\n \n  \nautomotive technology\n \nuniversity of california\n \nï¼  \ncity\n \n  \nstate\n \nautomotive technology\n2014\nassociate s degree\n \n  \nbusiness management\n \nuniversity of california\n \nï¼  \ncity\n \n  \nstate\n \nbusiness management want more  check out our other\nexamples  \nsee more examples\nskills\nvehicle repairs  database  inventory  marketing strategies  sale', 'University': 's'}]","automobile service manager, service manager company, city state automotive, city state business, city state ensured, manager summary attentive, state automotive technology, state business management, degree automotive technology, automotive technology university"
./data\AUTOMOBILE\17510973.pdf,AUTOMOBILE,[],"contact center specialist, customer service skills, plan information call, information call center, plan information specialist, center specialist company, call center including, volume call center, clients customer service, senior plan information"
./data\AUTOMOBILE\17571262.pdf,AUTOMOBILE,[],"city state maintained, city state implemented, city state served, city state responsible, city state usa, city state consistently, city state communicated, property management clients, procedures property management, management coordinator jan"
./data\AUTOMOBILE\18448085.pdf,AUTOMOBILE,"[{'Degree': 'master', 'Major': 's of science\n \n  \nindustrial and systems engineering\n \nbinghamton university  state university of new york\n \nindustrial and systems engineering\n3 51 4 00\nmay 2014\nbachelors of engineering\n \n  \nmechanical engineering\n \nosmania university\n \nmechanical engineering 3 33 4 00\nskills\napache  autocad  charts  credit  clients  data analysis  data visualization  databases  dec  decision making  layout  leadership  matlab \nmicrosoft access  ms excel  minitab  mysql  optimization  oracle database  python  sas  simulation  six sigma  spss  sql  statistical\nanalysis  tableau  visio  websit', 'University': 'e'}]","credit card company, analysis data visualization, data analysis data, minutes statistical analysis, card company jan, systems engineering graduate, systems engineering binghamton, engineering mechanical engineering, statistical analysis tableau, sql statistical analysis"
./data\AUTOMOBILE\18932512.pdf,AUTOMOBILE,[],"city state received, customer service representative, excellent customer service, call center representative, city state provide, service customer service, city state general, city state responded, provided excellent customer, customer service customer"
./data\AUTOMOBILE\22452756.pdf,AUTOMOBILE,[],"services engineer january, work electrical work, work wiring work, work vulcanizing work, repairs genuine spares, regular free services, parts lathe work, electrical work wiring, service centre manager, lathe work vulcanizing"
./data\AUTOMOBILE\22732234.pdf,AUTOMOBILE,"[{'Degree': 'master', 'Major': 's of science\n \n \n \npublic safety emergency management\n \ndecember 2017\n \ncapella university\n \n  \ncity\n \n  \nstate\n \npublic safety emergency\nmanagement\nrelevant courses \ncollaboration  communication  and case analysis for master s learners  introduction to research methodology  public safety\nethnic and cultural awareness  foundations of emergency management  public safety leadership  coordinating a modern emergency\nmanagement program  comprehensive emergency management  response and recovery  the science behind national incident management\nsystems  comprehensive emergency management  mitigation and preparedness  critical infrastructure and cyber security  integrative project forpublic safety learners\nbachelor of arts   science\n \n \n \ncriminal justice\n \naugust 2010\n \nflorida a   m university\n \n  \ncity\n \n  \nstate\n \ncriminal justice relevant courses \nintroduction\nto criminal justice  statistics in criminal justice  theories in criminal behavior  cases in corrections  research methods in criminal justice \npolice and society  race  class and justice  penology  contemporary issues in corrections  american court system  women and crime  social\nproblems\nskills\ncriminal justice  public safety  sales  schedulin', 'University': 'g'}]","customer service representative, state customer service, city state customer, safety emergency management, customer service inquiries, public safety emergency, university city state, comprehensive emergency management, city state criminal, state criminal justice"
./data\AUTOMOBILE\22946204.pdf,AUTOMOBILE,"[{'Degree': 'master', 'Major': 'of science\n \n  \nmech  eng    applied mechanics jun\n \ncity\n \n  \nstate\nmech  eng    applied mechanics jun\nharbin institute of technology  hit \n \n2010\n \nbachelor of science\n \n  \nmechanical design and automation \nsep aug\n \ncity\n \n  \nchina\n \nmechanical design\nand automation \nsepaug\nlanguages\nenglish  chinese\nadditional information\ncompetitions   awards  honor mention prize  30    \nmcm  the mathematical contest in modeling \n2011 regional second\nprize  \nchina undergraduate mathematical contest in modeling \n2012 4th place  robockey  \nhockey playing robot competition at upenn\n2015\nskills\n3d  assembly language  autocad  automobiles  c  c language  cad  chinese  clustering  com  controller  data analysis  database  database\nsoftware  designing  economics  editing  embedded system  english  experiments  gui  graphic  java  laser  lathe  machine learning \nmatlab  mechanical  mechanical \ndesign  mechanical design  mechanical engineering  excel  windows 7  word  mill  modeling  networks \nneural  operating systems  os  painting  camera  plc  predict  producing  programming  python  rendering  research  robotics  simulation \nsolidworks  spss  sql  sql server  stata  statistics  system design  trading \nsystem  visio', 'University': 'n'}]","mechanical design mechanical, design mechanical design, mechanical mechanical design, system design mechanical, control system design, science mechanical design, yrs mechanical skills, mechanical design autocad, design mechanical manufacturing, design mechanical engineering"
./data\AUTOMOBILE\23009962.pdf,AUTOMOBILE,"[{'Degree': 'master', 'Major': 'of arts\n \nmanagement   organizational change and leadership\nramapo college of new jersey\n sociology\n \nbachelor of arts\n \nsociology\nwork history\ncompany name\nskills\nbook  budget  coach  coaching  ca  consulting  client  customer service  decision making  decision making  delivery  designing  functional \nleadership  team development  director  managing  meetings  processes  quality  sales  strategic thinking  systems thinking  teamwork\nadditional information\nawards   certifications received 3 excellence awards in recognition of leadership initiative for healthcare executives  awarded\nthe  contractor of the year award  and the  big 50  award for co owned company  b coach systems llc  coach2 training program\nprofessional affiliations\nnational organization development network  odn  new jersey organizational development  njod  northern new jersey american society\nfor training   development  atd', 'University': ''}]","organization development consultant, state organization development, city state organization, training organization january, team team development, management organizational change, leadership team development, city state staff, external organization development, development consultant executive"
./data\AUTOMOBILE\23522150.pdf,AUTOMOBILE,[],"city state usa, city state personal, excellent communication skills, city state administrative, school city state, city state recruiter, city state pastry, city state catering, city state automobile, college city state"
./data\AUTOMOBILE\24592627.pdf,AUTOMOBILE,"[{'Degree': 'bachelor', 'Major': 's degree\n \n  \nmanagement\n \n  \n1977\n \nuniv  of redlands\n \nï¼  \ncity\n \n  \nstate\nmanagement\ninternational association of credit card fraud training 1996  \ninternational association of auto theft training 1997  2001  \ncalifornia conference\nof arson investigators seminar 2004  \nvehicle fires  cause and recovery 2010  \nmidwest cargo theft training event 2011  \nbasic arson\ninvestigation and prosecution training \n  \n73\n \nlos angeles sheriff s academy\n \n93   94   95   05   08  \niasiu international training\ncertified insurance fraud investigator  cifi  international assoc  of siu \nsenior claims law associate degree   scla  american educational\ninstitute \nfraud claims law specialist   fcls  american educational institute \ncalifornia peace officer standard in training  basic  intermediate  \nadvanced\nskills\nattorney  basic  ca  credit  insurance  law  office  police  supervisio', 'University': 'n'}]","special investigator january, special investigation unit, senior special investigator, insurance fraud investigator, city state conducted, city state normal, city state criminology, staff investigator january, city state management, siu investigator january"
./data\AUTOMOBILE\24703983.pdf,AUTOMOBILE,[],"sheet accounts processed, city state processed, balance sheet accounts, city tax returns, tax returns researched, monthly state county, monthly customer statements, ran monthly customer, microsoft office outlook, tax returns processed"
./data\AUTOMOBILE\25047127.pdf,AUTOMOBILE,[],"data entry requirements, maintained data entry, data program techniques, city state scheduling, city state verified, city state health, city state responsible, addressing customer concerns, centralized administrative support, leader data entry"
./data\AUTOMOBILE\26341645.pdf,AUTOMOBILE,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nmanagement information systems\n \n2000\n \nnortheastern university\n \ncity\n \n  \nstate\n \n  \nusa\nassociate of science\n \n  \ncomputer scientific\n \n1998\n \nquincy college\n \ncity\n \n  \nstat', 'University': 'e'}]","business systems analyst, customer service department, systems development systems, city state responsible, city state working, systems implementation systems, support business systems, hris customer service, customers company sales, development team involved"
./data\AUTOMOBILE\28790806.pdf,AUTOMOBILE,"[{'Degree': 'bachelor', 'Major': 'of technology\n \n2011\n \nanna university\n \nï¼  \ncity\n \n  \nstate\n \n  \nindia\nbusiness intelligence training\n \n2011\n \ntata consultancy services\n \nï¼  \ncity\n \n  \nstate\n \n  \nindia\nseptember 2011   december 2011â \nthis course provides an overview that gives business and information technology professionals the confidence to dive right into their business\nintelligence and data warehousing activities  hands on training provided on etl tools informatica datastage andâ data warehousing environment\nfor 90 days \ndatastage training\n \n2012\n \ngreens technologies\n \nï¼  \ncity\n \n  \nstate\n \n  \nindia\n \nthis course is designed to introduce etl developers to\ndatastage development  data warehousing and data modeling training s with real world etl process implementations \nactivities and honors\ndistinguished achiever award  tata consultancy services  feb 2015', 'University': ''}]","infosphere information server, datastage etl developer, city state india, information server version, developed datastage jobs, solution developer infosphere, large business intelligence, toâ infosphere information, business intelligence applications, credit card conversion"
